model, nodes, edges, abstract_nodes, abstract_edges, flip_edges, bisimulation_time, rectify_time_concrete_naive, rectify_time_concrete, rectify_time_abstract, number_of_rules, immutable_rules, core_concrete, abstract_concrete, abstract_core_final
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.1307663939996928, 1.4385847040002773, 1.274237668000751, 0.18633224600034737, 29, 4, 2, 1, 1
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.1307663939996928, 0.9006543109999257, 0.8083345699997153, 0.18637496800056397, 29, 5, 1, 1, 1
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.1307663939996928, 0.9292111889999433, 0.8407561670001087, 0.19069658699936554, 29, 6, 1, 1, 1
aag_29Jul2019.pickle, 1765, 4202, 430, 909, 0, 0.1418888190000871, 0.5318050949999815, 0.4491819080003552, 0.12071207000008144, 32, 1, 1, 1, 1
aag_29Jul2019.pickle, 1765, 4202, 430, 909, 0, 0.1418888190000871, 0.5423800300004586, 0.456326984000043, 0.10146467599952302, 32, 2, 1, 1, 1
aag_out_29Jul2019.pickle, 1765, 4202, 430, 909, 0, 0.13882086300054652, 0.5351908229995388, 0.44891743500011216, 0.12159168000016507, 32, 1, 1, 1, 1
aag_out_29Jul2019.pickle, 1765, 4202, 430, 909, 0, 0.13882086300054652, 0.5451537999997527, 0.4567709630000536, 0.10275641000043834, 32, 2, 1, 1, 1
aag_test.pickle, 8021, 19417, 203, 346, 0, 0.45458998100002646, 3.919742189000317, 1.7219833480003217, 0.059256874000311655, 25, 1, 1, 1, 1
aag_test.pickle, 8021, 19417, 203, 346, 0, 0.45458998100002646, 3.451076422999904, 1.34109533299943, 0.038695076999829325, 25, 2, 1, 1, 1
input_159.pickle, 4153, 8833, 226, 357, 0, 0.3168307490004736, 1.2056591979999212, 0.8688300290004918, 0.04910822999954689, 22, 1, 1, 1, 1
input_159.pickle, 4153, 8833, 226, 357, 0, 0.3168307490004736, 1.1505066290001196, 0.8790679240000827, 0.04004497100049775, 22, 2, 1, 1, 1
input_159.pickle, 4153, 8833, 226, 357, 0, 0.3168307490004736, 2.3050623330000235, 1.8599277149996851, 0.06838583700027812, 22, 3, 1, 1, 1
input_159.pickle, 4153, 8833, 226, 357, 0, 0.3168307490004736, 2.673326965999877, 2.290463153000019, 0.08539998600008403, 22, 4, 1, 1, 1
input_159.pickle, 4153, 8833, 226, 357, 0, 0.3168307490004736, 1.3199414580003577, 1.1223423440005718, 3.2597923080002147, 22, 5, 1, 4, 4
original_aag_re.pickle, 268, 324, 205, 240, 0, 0.027783085000010033, 0.028281609999794455, 0.02680752400010533, 0.04854254000019864, 16, 1, 1, 1, 1
